DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter429,Codeine,DDInter248,Bumetanide,Moderate
DDInter429,Codeine,DDInter336,Celecoxib,Moderate
DDInter429,Codeine,DDInter360,Chlorothiazide,Moderate
DDInter365,Chlorthalidone,DDInter429,Codeine,Moderate
DDInter429,Codeine,DDInter480,Darifenacin,Moderate
DDInter429,Codeine,DDInter535,Diazoxide,Moderate
DDInter429,Codeine,DDInter731,Fesoterodine,Moderate
DDInter429,Codeine,DDInter738,Flavoxate,Moderate
DDInter429,Codeine,DDInter741,Flibanserin,Moderate
DDInter429,Codeine,DDInter790,Furosemide,Moderate
DDInter429,Codeine,DDInter883,Hydrochlorothiazide,Moderate
DDInter429,Codeine,DDInter889,Hydroflumethiazide,Moderate
DDInter429,Codeine,DDInter916,Indapamide,Moderate
DDInter429,Codeine,DDInter1199,Metolazone,Moderate
DDInter429,Codeine,DDInter1229,Mirabegron,Moderate
DDInter429,Codeine,DDInter1365,Oxybutynin,Moderate
DDInter429,Codeine,DDInter1490,Polythiazide,Moderate
DDInter1666,Sildenafil,DDInter429,Codeine,Moderate
DDInter429,Codeine,DDInter1667,Silodosin,Moderate
DDInter429,Codeine,DDInter1696,Solifenacin,Moderate
DDInter429,Codeine,DDInter1730,Sumatriptan,Moderate
DDInter429,Codeine,DDInter1745,Tamsulosin,Moderate
DDInter429,Codeine,DDInter1767,Terazosin,Moderate
DDInter429,Codeine,DDInter1832,Tolterodine,Moderate
DDInter1836,Torasemide,DDInter429,Codeine,Moderate
DDInter1886,Trospium,DDInter429,Codeine,Moderate
DDInter429,Codeine,DDInter1925,Vemurafenib,Moderate
DDInter429,Codeine,DDInter1971,Zonisamide,Moderate
DDInter44,Alfuzosin,DDInter536,Dichloralphenazone,Moderate
DDInter109,Apomorphine,DDInter536,Dichloralphenazone,Moderate
DDInter243,Bromocriptine,DDInter985,Isometheptene,Major
DDInter664,Ergometrine,DDInter985,Isometheptene,Major
DDInter738,Flavoxate,DDInter536,Dichloralphenazone,Moderate
DDInter536,Dichloralphenazone,DDInter741,Flibanserin,Moderate
DDInter1187,Methylergometrine,DDInter985,Isometheptene,Major
DDInter1375,Oxytocin,DDInter985,Isometheptene,Moderate
DDInter1606,Ritodrine,DDInter985,Isometheptene,Moderate
DDInter536,Dichloralphenazone,DDInter1667,Silodosin,Moderate
DDInter1745,Tamsulosin,DDInter536,Dichloralphenazone,Moderate
DDInter1861,Trichlormethiazide,DDInter536,Dichloralphenazone,Moderate
DDInter1971,Zonisamide,DDInter536,Dichloralphenazone,Moderate
DDInter1841,Tramadol,DDInter44,Alfuzosin,Moderate
DDInter1841,Tramadol,DDInter109,Apomorphine,Moderate
DDInter1841,Tramadol,DDInter243,Bromocriptine,Moderate
DDInter1841,Tramadol,DDInter336,Celecoxib,Moderate
DDInter1841,Tramadol,DDInter480,Darifenacin,Moderate
DDInter1841,Tramadol,DDInter731,Fesoterodine,Moderate
DDInter1841,Tramadol,DDInter738,Flavoxate,Moderate
DDInter1841,Tramadol,DDInter741,Flibanserin,Moderate
DDInter1841,Tramadol,DDInter1008,Ketoconazole,Moderate
DDInter1841,Tramadol,DDInter1118,Magnesium hydroxide,Moderate
DDInter1841,Tramadol,DDInter1202,Metronidazole,Minor
DDInter1841,Tramadol,DDInter1215,Mifepristone,Major
DDInter1841,Tramadol,DDInter1229,Mirabegron,Moderate
DDInter1841,Tramadol,DDInter1365,Oxybutynin,Moderate
DDInter1375,Oxytocin,DDInter1841,Tramadol,Moderate
DDInter1841,Tramadol,DDInter1389,Papaverine,Major
DDInter1841,Tramadol,DDInter1606,Ritodrine,Moderate
DDInter1841,Tramadol,DDInter1696,Solifenacin,Moderate
DDInter1841,Tramadol,DDInter1724,Sulfamethoxazole,Minor
DDInter1841,Tramadol,DDInter1730,Sumatriptan,Major
DDInter1841,Tramadol,DDInter1832,Tolterodine,Moderate
DDInter1841,Tramadol,DDInter1886,Trospium,Moderate
DDInter1841,Tramadol,DDInter1918,Vardenafil,Moderate
DDInter1841,Tramadol,DDInter1925,Vemurafenib,Major
DDInter1841,Tramadol,DDInter1971,Zonisamide,Moderate
DDInter16,Acetohexamide,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter36,Albiglutide,Moderate
DDInter15,Acetazolamide,DDInter1632,Salbutamol,Moderate
